Timestamp,Avg Voltage,Avg Current,Avg Power,Voltage Drop,Peak Current,Avg Lux,Sound Variation,Final Status
2026-03-07,12.5,1.2,15,0.2,2,100,5,PASS
2026-03-07 23:06:14.172433,0.86,4.04,4.0,0.0,4.1,60.5,30,PASS
2026-03-07 23:06:34.605795,0.86,4.14,4.0,0.0,4.4,63.83,18,PASS
2026-03-07 23:07:45.053834,0.86,4.18,4.0,0.0,4.3,64.0,42,PASS
2026-03-07 23:08:03.874923,0.86,4.08,4.0,0.0,4.1,64.5,28,PASS
2026-03-07,12.5,1.2,15,0.2,2,100,5,PASS
2026-03-07 23:18:01.841931,0.86,4.02,4.0,0.0,4.2,64.83,23,PASS
2026-03-07 23:18:13.514726,0.86,4.08,4.0,0.0,4.1,63.33,39,PASS
2026-03-07 23:18:47.307591,0.86,3.98,4.0,0.0,4.3,65.0,27,PASS
2026-03-08 11:39:54.401399,0.86,-0.34,0.0,0.0,-0.2,56.84,51,PASS
2026-03-08 11:52:54.209717,0.86,-0.24,0.0,0.0,0.0,59.34,32,PASS
